x,y,z,zrotation,SARwb
-1,0,-2,180,0.00183
-1,0,-1.35,180,0.00144
-1,0,-0.75,180,0.00182
-1,0,-0.3,180,0.00301
-1,0,0,180,0.0032
-1,0,0.3,180,0.00275
-1,0,0.75,180,0.002
-1,0,1.35,180,0.002
-1,0,2,180,0.00252
-1,0.1,-2,174.29,0.00183
-1,0.1,-1.35,174.29,0.00144
-1,0.1,-0.75,174.29,0.00176
-1,0.1,-0.3,174.29,0.00288
-1,0.1,0,174.29,0.00305
-1,0.1,0.3,174.29,0.00262
-1,0.1,0.75,174.29,0.00194
-1,0.1,1.35,174.29,0.00201
-1,0.1,2,174.29,0.00253
-1,0.2,-2,168.69,0.00186
-1,0.2,-1.35,168.69,0.00146
-1,0.2,-0.75,168.69,0.0016
-1,0.2,-0.3,168.69,0.00252
-1,0.2,0,168.69,0.00264
-1,0.2,0.3,168.69,0.00228
-1,0.2,0.75,168.69,0.0018
-1,0.2,1.35,168.69,0.00202
-1,0.2,2,168.69,0.00256
-1,0.36,-2,160.2,0.00191
-1,0.36,-1.35,160.2,0.00151
-1,0.36,-0.75,160.2,0.00128
-1,0.36,-0.3,160.2,0.00171
-1,0.36,0,160.2,0.00173
-1,0.36,0.3,160.2,0.00155
-1,0.36,0.75,160.2,0.00153
-1,0.36,1.35,160.2,0.00207
-1,0.36,2,160.2,0.00262
-1,0.6,-2,149.04,0.00198
-1,0.6,-1.35,149.04,0.00161
-1,0.6,-0.75,149.04,0.00103
-1,0.6,-0.3,149.04,0.00088
-1,0.6,0,149.04,0.00086
-1,0.6,0.3,149.04,0.00092
-1,0.6,0.75,149.04,0.00132
-1,0.6,1.35,149.04,0.00218
-1,0.6,2,149.04,0.00271
-1,0.9,-2,138.01,0.00198
-1,0.9,-1.35,138.01,0.00169
-1,0.9,-0.75,138.01,0.00111
-1,0.9,-0.3,138.01,0.0008
-1,0.9,0,138.01,0.00077
-1,0.9,0.3,138.01,0.00092
-1,0.9,0.75,138.01,0.00143
-1,0.9,1.35,138.01,0.00229
-1,0.9,2,138.01,0.00272
-1,1.4,-2,125.54,0.00166
-1,1.4,-1.35,125.54,0.00152
-1,1.4,-0.75,125.54,0.00124
-1,1.4,-0.3,125.54,0.00107
-1,1.4,0,125.54,0.00108
-1,1.4,0.3,125.54,0.00121
-1,1.4,0.75,125.54,0.00157
-1,1.4,1.35,125.54,0.00211
-1,1.4,2,125.54,0.00237
-1,2,-2,116.57,0.0011
-1,2,-1.35,116.57,0.001
-1,2,-0.75,116.57,0.00087
-1,2,-0.3,116.57,0.00082
-1,2,0,116.57,0.00084
-1,2,0.3,116.57,0.00094
-1,2,0.75,116.57,0.00114
-1,2,1.35,116.57,0.00146
-1,2,2,116.57,0.00164
-0.5,0,-2,180,0.00367
-0.5,0,-1.35,180,0.004
-0.5,0,-0.75,180,0.00448
-0.5,0,-0.3,180,0.00653
-0.5,0,0,180,0.00676
-0.5,0,0.3,180,0.00592
-0.5,0,0.75,180,0.00615
-0.5,0,1.35,180,0.00589
-0.5,0,2,180,0.0055
-0.5,0.1,-2,168.69,0.0037
-0.5,0.1,-1.35,168.69,0.00409
-0.5,0.1,-0.75,168.69,0.00435
-0.5,0.1,-0.3,168.69,0.00613
-0.5,0.1,0,168.69,0.00624
-0.5,0.1,0.3,168.69,0.00543
-0.5,0.1,0.75,168.69,0.006
-0.5,0.1,1.35,168.69,0.00599
-0.5,0.1,2,168.69,0.0055
-0.5,0.2,-2,158.2,0.00376
-0.5,0.2,-1.35,158.2,0.00433
-0.5,0.2,-0.75,158.2,0.00411
-0.5,0.2,-0.3,158.2,0.00507
-0.5,0.2,0,158.2,0.00496
-0.5,0.2,0.3,158.2,0.00446
-0.5,0.2,0.75,158.2,0.00572
-0.5,0.2,1.35,158.2,0.00622
-0.5,0.2,2,158.2,0.00551
-0.5,0.36,-2,144.25,0.00387
-0.5,0.36,-1.35,144.25,0.00472
-0.5,0.36,-0.75,144.25,0.00399
-0.5,0.36,-0.3,144.25,0.00354
-0.5,0.36,0,144.25,0.00339
-0.5,0.36,0.3,144.25,0.00372
-0.5,0.36,0.75,144.25,0.00556
-0.5,0.36,1.35,144.25,0.00667
-0.5,0.36,2,144.25,0.00551
-0.5,0.6,-2,129.81,0.00387
-0.5,0.6,-1.35,129.81,0.00492
-0.5,0.6,-0.75,129.81,0.00416
-0.5,0.6,-0.3,129.81,0.00324
-0.5,0.6,0,129.81,0.00318
-0.5,0.6,0.3,129.81,0.00385
-0.5,0.6,0.75,129.81,0.00566
-0.5,0.6,1.35,129.81,0.00682
-0.5,0.6,2,129.81,0.0053
-0.5,0.9,-2,119.05,0.00339
-0.5,0.9,-1.35,119.05,0.00418
-0.5,0.9,-0.75,119.05,0.00375
-0.5,0.9,-0.3,119.05,0.00328
-0.5,0.9,0,119.05,0.00332
-0.5,0.9,0.3,119.05,0.00384
-0.5,0.9,0.75,119.05,0.00505
-0.5,0.9,1.35,119.05,0.00588
-0.5,0.9,2,119.05,0.00467
-0.5,1.4,-2,109.65,0.00214
-0.5,1.4,-1.35,109.65,0.00233
-0.5,1.4,-0.75,109.65,0.00202
-0.5,1.4,-0.3,109.65,0.00184
-0.5,1.4,0,109.65,0.00189
-0.5,1.4,0.3,109.65,0.00218
-0.5,1.4,0.75,109.65,0.00282
-0.5,1.4,1.35,109.65,0.00347
-0.5,1.4,2,109.65,0.00314
-0.5,2,-2,104.04,0.00104
-0.5,2,-1.35,104.04,0.00093
-0.5,2,-0.75,104.04,0.00072
-0.5,2,-0.3,104.04,0.00062
-0.5,2,0,104.04,0.00066
-0.5,2,0.3,104.04,0.0008
-0.5,2,0.75,104.04,0.00112
-0.5,2,1.35,104.04,0.00156
-0.5,2,2,104.04,0.0017
-0.2,0,-2,180,0.00512
-0.2,0,-1.35,180,0.00895
-0.2,0,-0.75,180,0.01057
-0.2,0,-0.3,180,0.01516
-0.2,0,0,180,0.01664
-0.2,0,0.3,180,0.01379
-0.2,0,0.75,180,0.01675
-0.2,0,1.35,180,0.01353
-0.2,0,2,180,0.00807
-0.2,0.1,-2,153.43,0.00511
-0.2,0.1,-1.35,153.43,0.00936
-0.2,0.1,-0.75,153.43,0.01144
-0.2,0.1,-0.3,153.43,0.01518
-0.2,0.1,0,153.43,0.01684
-0.2,0.1,0.3,153.43,0.01524
-0.2,0.1,0.75,153.43,0.01847
-0.2,0.1,1.35,153.43,0.01379
-0.2,0.1,2,153.43,0.00792
-0.2,0.2,-2,135,0.00508
-0.2,0.2,-1.35,135,0.0099
-0.2,0.2,-0.75,135,0.01236
-0.2,0.2,-0.3,135,0.015
-0.2,0.2,0,135,0.01686
-0.2,0.2,0.3,135,0.01766
-0.2,0.2,0.75,135,0.01928
-0.2,0.2,1.35,135,0.01413
-0.2,0.2,2,135,0.0076
-0.2,0.36,-2,119.05,0.00492
-0.2,0.36,-1.35,119.05,0.00984
-0.2,0.36,-0.75,119.05,0.0128
-0.2,0.36,-0.3,119.05,0.01372
-0.2,0.36,0,119.05,0.01521
-0.2,0.36,0.3,119.05,0.0164
-0.2,0.36,0.75,119.05,0.01787
-0.2,0.36,1.35,119.05,0.01377
-0.2,0.36,2,119.05,0.00704
-0.2,0.6,-2,108.43,0.00442
-0.2,0.6,-1.35,108.43,0.00833
-0.2,0.6,-0.75,108.43,0.00971
-0.2,0.6,-0.3,108.43,0.00972
-0.2,0.6,0,108.43,0.01059
-0.2,0.6,0.3,108.43,0.01177
-0.2,0.6,0.75,108.43,0.01344
-0.2,0.6,1.35,108.43,0.0113
-0.2,0.6,2,108.43,0.00619
-0.2,0.9,-2,102.53,0.00352
-0.2,0.9,-1.35,102.53,0.00528
-0.2,0.9,-0.75,102.53,0.0053
-0.2,0.9,-0.3,102.53,0.00495
-0.2,0.9,0,102.53,0.00529
-0.2,0.9,0.3,102.53,0.006
-0.2,0.9,0.75,102.53,0.00756
-0.2,0.9,1.35,102.53,0.00745
-0.2,0.9,2,102.53,0.00489
-0.2,1.4,-2,98.13,0.00196
-0.2,1.4,-1.35,98.13,0.00209
-0.2,1.4,-0.75,98.13,0.00157
-0.2,1.4,-0.3,98.13,0.00131
-0.2,1.4,0,98.13,0.00137
-0.2,1.4,0.3,98.13,0.00174
-0.2,1.4,0.75,98.13,0.0026
-0.2,1.4,1.35,98.13,0.00337
-0.2,1.4,2,98.13,0.00294
-0.2,2,-2,95.71,0.00087
-0.2,2,-1.35,95.71,0.00069
-0.2,2,-0.75,95.71,0.0004
-0.2,2,-0.3,95.71,0.00029
-0.2,2,0,95.71,0.00033
-0.2,2,0.3,95.71,0.00048
-0.2,2,0.75,95.71,0.00084
-0.2,2,1.35,95.71,0.00133
-0.2,2,2,95.71,0.00152
0,0.1,-2,90,0.00526
0,0.1,-1.35,90,0.0175
0,0.1,-0.75,90,0.10099
0,0.1,-0.3,90,0.34121
0,0.1,0,90,0.37251
0,0.1,0.3,90,0.22552
0,0.1,0.75,90,0
0,0.1,1.35,90,0.02801
0,0.1,2,90,0.00839
0,0.2,-2,90,0.00518
0,0.2,-1.35,90,0.01628
0,0.2,-0.75,90,0.04979
0,0.2,-0.3,90,0.11294
0,0.2,0,90,0.11597
0,0.2,0.3,90,0.0939
0,0.2,0.75,90,0.09036
0,0.2,1.35,90,0.02385
0,0.2,2,90,0.008
0,0.36,-2,90,0.00497
0,0.36,-1.35,90,0.01373
0,0.36,-0.75,90,0.02756
0,0.36,-0.3,90,0.0386
