x,y,z,zrotation,SARwb
  -1.00000,   0.00000,  -2.00000, 180.00000,   0.00183
  -1.00000,   0.00000,  -1.35000, 180.00000,   0.00144
  -1.00000,   0.00000,  -0.81000, 180.00000,   0.00166
  -1.00000,   0.00000,  -0.30000, 180.00000,   0.00301
  -1.00000,   0.00000,   0.00000, 180.00000,   0.00320
  -1.00000,   0.00000,   0.30000, 180.00000,   0.00275
  -1.00000,   0.00000,   0.81000, 180.00000,   0.00194
  -1.00000,   0.00000,   1.35000, 180.00000,   0.00200
  -1.00000,   0.00000,   2.00000, 180.00000,   0.00252
  -1.00000,   0.10000,  -2.00000, 174.29000,   0.00183
  -1.00000,   0.10000,  -1.35000, 174.29000,   0.00144
  -1.00000,   0.10000,  -0.81000, 174.29000,   0.00161
  -1.00000,   0.10000,  -0.30000, 174.29000,   0.00288
  -1.00000,   0.10000,   0.00000, 174.29000,   0.00305
  -1.00000,   0.10000,   0.30000, 174.29000,   0.00262
  -1.00000,   0.10000,   0.81000, 174.29000,   0.00190
  -1.00000,   0.10000,   1.35000, 174.29000,   0.00201
  -1.00000,   0.10000,   2.00000, 174.29000,   0.00253
  -1.00000,   0.20000,  -2.00000, 168.69000,   0.00186
  -1.00000,   0.20000,  -1.35000, 168.69000,   0.00146
  -1.00000,   0.20000,  -0.81000, 168.69000,   0.00149
  -1.00000,   0.20000,  -0.30000, 168.69000,   0.00252
  -1.00000,   0.20000,   0.00000, 168.69000,   0.00264
  -1.00000,   0.20000,   0.30000, 168.69000,   0.00228
  -1.00000,   0.20000,   0.81000, 168.69000,   0.00178
  -1.00000,   0.20000,   1.35000, 168.69000,   0.00202
  -1.00000,   0.20000,   2.00000, 168.69000,   0.00256
  -1.00000,   0.36000,  -2.00000, 160.20000,   0.00191
  -1.00000,   0.36000,  -1.35000, 160.20000,   0.00151
  -1.00000,   0.36000,  -0.81000, 160.20000,   0.00125
  -1.00000,   0.36000,  -0.30000, 160.20000,   0.00171
  -1.00000,   0.36000,   0.00000, 160.20000,   0.00173
  -1.00000,   0.36000,   0.30000, 160.20000,   0.00155
  -1.00000,   0.36000,   0.81000, 160.20000,   0.00156
  -1.00000,   0.36000,   1.35000, 160.20000,   0.00207
  -1.00000,   0.36000,   2.00000, 160.20000,   0.00262
  -1.00000,   0.60000,  -2.00000, 149.04000,   0.00198
  -1.00000,   0.60000,  -1.35000, 149.04000,   0.00161
  -1.00000,   0.60000,  -0.81000, 149.04000,   0.00107
  -1.00000,   0.60000,  -0.30000, 149.04000,   0.00088
  -1.00000,   0.60000,   0.00000, 149.04000,   0.00086
  -1.00000,   0.60000,   0.30000, 149.04000,   0.00092
  -1.00000,   0.60000,   0.81000, 149.04000,   0.00139
  -1.00000,   0.60000,   1.35000, 149.04000,   0.00218
  -1.00000,   0.60000,   2.00000, 149.04000,   0.00271
  -1.00000,   0.90000,  -2.00000, 138.01000,   0.00198
  -1.00000,   0.90000,  -1.35000, 138.01000,   0.00169
  -1.00000,   0.90000,  -0.81000, 138.01000,   0.00116
  -1.00000,   0.90000,  -0.30000, 138.01000,   0.00080
  -1.00000,   0.90000,   0.00000, 138.01000,   0.00077
  -1.00000,   0.90000,   0.30000, 138.01000,   0.00092
  -1.00000,   0.90000,   0.81000, 138.01000,   0.00152
  -1.00000,   0.90000,   1.35000, 138.01000,   0.00229
  -1.00000,   0.90000,   2.00000, 138.01000,   0.00272
  -1.00000,   1.40000,  -2.00000, 125.54000,   0.00166
  -1.00000,   1.40000,  -1.35000, 125.54000,   0.00152
  -1.00000,   1.40000,  -0.81000, 125.54000,   0.00126
  -1.00000,   1.40000,  -0.30000, 125.54000,   0.00107
  -1.00000,   1.40000,   0.00000, 125.54000,   0.00108
  -1.00000,   1.40000,   0.30000, 125.54000,   0.00121
  -1.00000,   1.40000,   0.81000, 125.54000,   0.00162
  -1.00000,   1.40000,   1.35000, 125.54000,   0.00211
  -1.00000,   1.40000,   2.00000, 125.54000,   0.00237
  -1.00000,   2.00000,  -2.00000, 116.57000,   0.00110
  -1.00000,   2.00000,  -1.35000, 116.57000,   0.00100
  -1.00000,   2.00000,  -0.81000, 116.57000,   0.00088
  -1.00000,   2.00000,  -0.30000, 116.57000,   0.00082
