x [m], y [m], z [m], azimuth rotation [deg], whole body SAR [W/Kg]
5.000000E-02,0.000000E+00,-4.000000E+00,0.000000E+00,6.018800E-06
5.000000E-02,0.000000E+00,-3.200000E+00,0.000000E+00,1.587100E-05
5.000000E-02,0.000000E+00,-2.400000E+00,0.000000E+00,5.959900E-05
5.000000E-02,0.000000E+00,-1.700000E+00,0.000000E+00,4.134900E-04
5.000000E-02,0.000000E+00,-1.000000E+00,0.000000E+00,1.478400E-01
5.000000E-02,0.000000E+00,-5.000000E-01,0.000000E+00,1.022800E+00
5.000000E-02,0.000000E+00,0.000000E+00,0.000000E+00,7.513900E-01
5.000000E-02,0.000000E+00,5.000000E-01,0.000000E+00,3.373200E-01
5.000000E-02,0.000000E+00,1.000000E+00,0.000000E+00,1.015400E-01
5.000000E-02,0.000000E+00,1.700000E+00,0.000000E+00,4.732600E-04
5.000000E-02,0.000000E+00,2.400000E+00,0.000000E+00,6.441800E-05
5.000000E-02,0.000000E+00,3.200000E+00,0.000000E+00,1.666100E-05
5.000000E-02,0.000000E+00,4.000000E+00,0.000000E+00,6.236200E-06
1.000000E-01,0.000000E+00,-4.000000E+00,0.000000E+00,6.441700E-06
1.000000E-01,0.000000E+00,-3.200000E+00,0.000000E+00,1.669900E-05
1.000000E-01,0.000000E+00,-2.400000E+00,0.000000E+00,5.984800E-05
1.000000E-01,0.000000E+00,-1.700000E+00,0.000000E+00,3.361000E-04
1.000000E-01,0.000000E+00,-1.000000E+00,0.000000E+00,6.768800E-02
1.000000E-01,0.000000E+00,-5.000000E-01,0.000000E+00,3.298300E-01
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,2.994600E-01
1.000000E-01,0.000000E+00,5.000000E-01,0.000000E+00,2.601800E-01
1.000000E-01,0.000000E+00,1.000000E+00,0.000000E+00,8.878800E-02
1.000000E-01,0.000000E+00,1.700000E+00,0.000000E+00,4.335600E-04
1.000000E-01,0.000000E+00,2.400000E+00,0.000000E+00,6.732500E-05
1.000000E-01,0.000000E+00,3.200000E+00,0.000000E+00,1.802800E-05
1.000000E-01,0.000000E+00,4.000000E+00,0.000000E+00,6.833900E-06
3.000000E-01,0.000000E+00,-4.000000E+00,0.000000E+00,9.279900E-06
3.000000E-01,0.000000E+00,-3.200000E+00,0.000000E+00,2.192000E-05
3.000000E-01,0.000000E+00,-2.400000E+00,0.000000E+00,6.119700E-05
3.000000E-01,0.000000E+00,-1.700000E+00,0.000000E+00,1.858800E-04
3.000000E-01,0.000000E+00,-1.000000E+00,0.000000E+00,3.714800E-02
3.000000E-01,0.000000E+00,-5.000000E-01,0.000000E+00,1.577500E-01
3.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,1.835400E-01
3.000000E-01,0.000000E+00,5.000000E-01,0.000000E+00,1.354100E-01
3.000000E-01,0.000000E+00,1.000000E+00,0.000000E+00,4.501000E-02
3.000000E-01,0.000000E+00,1.700000E+00,0.000000E+00,2.172600E-04
3.000000E-01,0.000000E+00,2.400000E+00,0.000000E+00,7.455600E-05
3.000000E-01,0.000000E+00,3.200000E+00,0.000000E+00,2.535100E-05
3.000000E-01,0.000000E+00,4.000000E+00,0.000000E+00,1.044500E-05
