   x [m], y [m], z [m], azimuth rotation [deg], whole body SAR [W/Kg]
   0.05000,   0.00000, -12.00000,   0.00000,   0.00001
   0.05000,   0.00000,  -9.00000,   0.00000,   0.00012
   0.05000,   0.00000,  -6.00000,   0.00000,   0.02443
   0.05000,   0.00000,  -4.00000,   0.00000,   0.05641
   0.05000,   0.00000,  -2.50000,   0.00000,   0.19841
   0.05000,   0.00000,  -1.70000,   0.00000,   0.32812
   0.05000,   0.00000,  -1.00000,   0.00000,   0.23175
   0.05000,   0.00000,  -0.50000,   0.00000,   0.24720
   0.05000,   0.00000,   0.00000,   0.00000,   0.45867
   0.05000,   0.00000,   0.50000,   0.00000,   0.26811
   0.05000,   0.00000,   1.00000,   0.00000,   0.26764
   0.05000,   0.00000,   1.70000,   0.00000,   0.30618
   0.05000,   0.00000,   2.50000,   0.00000,   0.18315
   0.05000,   0.00000,   4.00000,   0.00000,   0.06421
   0.05000,   0.00000,   6.00000,   0.00000,   0.03034
   0.05000,   0.00000,   9.00000,   0.00000,   0.00012
   0.10000,   0.00000, -12.00000,   0.00000,   0.00001
   0.10000,   0.00000,  -9.00000,   0.00000,   0.00012
   0.10000,   0.00000,  -6.00000,   0.00000,   0.02590
   0.10000,   0.00000,  -4.00000,   0.00000,   0.05783
   0.10000,   0.00000,  -2.50000,   0.00000,   0.19373
   0.10000,   0.00000,  -1.70000,   0.00000,   0.28702
   0.10000,   0.00000,  -1.00000,   0.00000,   0.22617
   0.10000,   0.00000,  -0.50000,   0.00000,   0.24311
   0.10000,   0.00000,   0.00000,   0.00000,   0.40870
   0.10000,   0.00000,   0.50000,   0.00000,   0.26559
   0.10000,   0.00000,   1.00000,   0.00000,   0.24295
   0.10000,   0.00000,   1.70000,   0.00000,   0.28434
   0.10000,   0.00000,   2.50000,   0.00000,   0.17959
   0.10000,   0.00000,   4.00000,   0.00000,   0.06476
   0.10000,   0.00000,   6.00000,   0.00000,   0.02934
   0.10000,   0.00000,   9.00000,   0.00000,   0.00012
   0.10000,   0.00000,  12.00000,   0.00000,   0.00001
   0.30000,   0.00000, -12.00000,   0.00000,   0.00001
   0.30000,   0.00000,  -9.00000,   0.00000,   0.00011
   0.30000,   0.00000,  -6.00000,   0.00000,   0.01847
   0.30000,   0.00000,  -4.00000,   0.00000,   0.06057
   0.30000,   0.00000,  -2.50000,   0.00000,   0.14668
   0.30000,   0.00000,  -1.70000,   0.00000,   0.21152
   0.30000,   0.00000,  -1.00000,   0.00000,   0.18857
   0.30000,   0.00000,  -0.50000,   0.00000,   0.19619
   0.30000,   0.00000,   0.00000,   0.00000,   0.24602
   0.30000,   0.00000,   0.50000,   0.00000,   0.20580
   0.30000,   0.00000,   1.00000,   0.00000,   0.19020
   0.30000,   0.00000,   1.70000,   0.00000,   0.21622
   0.30000,   0.00000,   2.50000,   0.00000,   0.14332
   0.30000,   0.00000,   4.00000,   0.00000,   0.06444
   0.30000,   0.00000,   6.00000,   0.00000,   0.01988
   0.30000,   0.00000,   9.00000,   0.00000,   0.00011
   0.30000,   0.00000,  12.00000,   0.00000,   0.00001
   0.60000,   0.00000, -12.00000,   0.00000,   0.00001
   0.60000,   0.00000,  -9.00000,   0.00000,   0.00010
   0.60000,   0.00000,  -6.00000,   0.00000,   0.00830
   0.60000,   0.00000,  -4.00000,   0.00000,   0.04690
   0.60000,   0.00000,  -2.50000,   0.00000,   0.08708
   0.60000,   0.00000,  -1.70000,   0.00000,   0.14742
   0.60000,   0.00000,  -1.00000,   0.00000,   0.13805
   0.60000,   0.00000,  -0.50000,   0.00000,   0.11985
   0.60000,   0.00000,   0.00000,   0.00000,   0.11942
   0.60000,   0.00000,   0.50000,   0.00000,   0.11859
   0.60000,   0.00000,   1.00000,   0.00000,   0.13280
   0.60000,   0.00000,   1.70000,   0.00000,   0.15128
   0.60000,   0.00000,   2.50000,   0.00000,   0.09170
   0.60000,   0.00000,   4.00000,   0.00000,   0.04713
   0.60000,   0.00000,   6.00000,   0.00000,   0.00907
   0.60000,   0.00000,   9.00000,   0.00000,   0.00010
   0.60000,   0.00000,  12.00000,   0.00000,   0.00001
   1.00000,   0.00000, -12.00000,   0.00000,   0.00001
   1.00000,   0.00000,  -9.00000,   0.00000,   0.00008
   1.00000,   0.00000,  -6.00000,   0.00000,   0.00385
   1.00000,   0.00000,  -4.00000,   0.00000,   0.02576
   1.00000,   0.00000,  -2.50000,   0.00000,   0.04770
   1.00000,   0.00000,  -1.70000,   0.00000,   0.08405
   1.00000,   0.00000,  -1.00000,   0.00000,   0.08128
   1.00000,   0.00000,  -0.50000,   0.00000,   0.06537
   1.00000,   0.00000,   0.00000,   0.00000,   0.05771
   1.00000,   0.00000,   0.50000,   0.00000,   0.06247
   1.00000,   0.00000,   1.00000,   0.00000,   0.07749
   1.00000,   0.00000,   1.70000,   0.00000,   0.08602
   1.00000,   0.00000,   2.50000,   0.00000,   0.05185
   1.00000,   0.00000,   4.00000,   0.00000,   0.02517
   1.00000,   0.00000,   6.00000,   0.00000,   0.00442
   1.00000,   0.00000,   9.00000,   0.00000,   0.00007
   1.00000,   0.00000,  12.00000,   0.00000,   0.00001
   1.50000,   0.00000, -12.00000,   0.00000,   0.00001
   1.50000,   0.00000,  -9.00000,   0.00000,   0.00005
   1.50000,   0.00000,  -6.00000,   0.00000,   0.00259
   1.50000,   0.00000,  -4.00000,   0.00000,   0.01455
   1.50000,   0.00000,  -2.50000,   0.00000,   0.02975
   1.50000,   0.00000,  -1.70000,   0.00000,   0.04577
   1.50000,   0.00000,  -1.00000,   0.00000,   0.04672
   1.50000,   0.00000,  -0.50000,   0.00000,   0.04123
   1.50000,   0.00000,   0.00000,   0.00000,   0.03788
   1.50000,   0.00000,   0.50000,   0.00000,   0.04004
   1.50000,   0.00000,   1.00000,   0.00000,   0.04551
   1.50000,   0.00000,   1.70000,   0.00000,   0.04664
   1.50000,   0.00000,   2.50000,   0.00000,   0.03173
   1.50000,   0.00000,   4.00000,   0.00000,   0.01457
   1.50000,   0.00000,   6.00000,   0.00000,   0.00296
   1.50000,   0.00000,   9.00000,   0.00000,   0.00005
   1.50000,   0.00000,  12.00000,   0.00000,   0.00001
   2.20000,   0.00000, -12.00000,   0.00000,   0.00001
   2.20000,   0.00000,  -9.00000,   0.00000,   0.00004
   2.20000,   0.00000,  -6.00000,   0.00000,   0.00203
   2.20000,   0.00000,  -4.00000,   0.00000,   0.01094
   2.20000,   0.00000,  -2.50000,   0.00000,   0.02234
   2.20000,   0.00000,  -1.70000,   0.00000,   0.02848
   2.20000,   0.00000,  -1.00000,   0.00000,   0.03152
   2.20000,   0.00000,  -0.50000,   0.00000,   0.03239
   2.20000,   0.00000,   0.00000,   0.00000,   0.03263
   2.20000,   0.00000,   0.50000,   0.00000,   0.03242
   2.20000,   0.00000,   1.00000,   0.00000,   0.03166
   2.20000,   0.00000,   1.70000,   0.00000,   0.02895
   2.20000,   0.00000,   2.50000,   0.00000,   0.02305
   2.20000,   0.00000,   4.00000,   0.00000,   0.01141
   2.20000,   0.00000,   6.00000,   0.00000,   0.00224
   2.20000,   0.00000,   9.00000,   0.00000,   0.00004
   2.20000,   0.00000,  12.00000,   0.00000,   0.00001
   3.00000,   0.00000, -12.00000,   0.00000,   0.00001
   3.00000,   0.00000,  -9.00000,   0.00000,   0.00004
   3.00000,   0.00000,  -6.00000,   0.00000,   0.00152
   3.00000,   0.00000,  -4.00000,   0.00000,   0.00919
   3.00000,   0.00000,  -2.50000,   0.00000,   0.01768
   3.00000,   0.00000,  -1.70000,   0.00000,   0.02161
   3.00000,   0.00000,  -1.00000,   0.00000,   0.02481
   3.00000,   0.00000,  -0.50000,   0.00000,   0.02655
   3.00000,   0.00000,   0.00000,   0.00000,   0.02728
   3.00000,   0.00000,   0.50000,   0.00000,   0.02675
   3.00000,   0.00000,   1.00000,   0.00000,   0.02514
   3.00000,   0.00000,   1.70000,   0.00000,   0.02197
   3.00000,   0.00000,   2.50000,   0.00000,   0.01803
   3.00000,   0.00000,   4.00000,   0.00000,   0.00962
   3.00000,   0.00000,   6.00000,   0.00000,   0.00163
   3.00000,   0.00000,   9.00000,   0.00000,   0.00004
   3.00000,   0.00000,  12.00000,   0.00000,   0.00001
   3.90000,   0.00000, -12.00000,   0.00000,   0.00001
   3.90000,   0.00000,  -9.00000,   0.00000,   0.00005
   3.90000,   0.00000,  -6.00000,   0.00000,   0.00112
   3.90000,   0.00000,  -4.00000,   0.00000,   0.00649
   3.90000,   0.00000,  -2.50000,   0.00000,   0.01274
   3.90000,   0.00000,  -1.70000,   0.00000,   0.01591
   3.90000,   0.00000,  -1.00000,   0.00000,   0.01813
   3.90000,   0.00000,  -0.50000,   0.00000,   0.01913
   3.90000,   0.00000,   0.00000,   0.00000,   0.01952
   3.90000,   0.00000,   0.50000,   0.00000,   0.01925
   3.90000,   0.00000,   1.00000,   0.00000,   0.01834
   3.90000,   0.00000,   1.70000,   0.00000,   0.01618
   3.90000,   0.00000,   2.50000,   0.00000,   0.01303
   3.90000,   0.00000,   4.00000,   0.00000,   0.00680
   3.90000,   0.00000,   6.00000,   0.00000,   0.00119
   3.90000,   0.00000,   9.00000,   0.00000,   0.00005
   3.90000,   0.00000,  12.00000,   0.00000,   0.00001
   5.00000,   0.00000, -12.00000,   0.00000,   0.00001
   5.00000,   0.00000,  -9.00000,   0.00000,   0.00005
   5.00000,   0.00000,  -6.00000,   0.00000,   0.00101
   5.00000,   0.00000,  -4.00000,   0.00000,   0.00520
   5.00000,   0.00000,  -2.50000,   0.00000,   0.01066
   5.00000,   0.00000,  -1.70000,   0.00000,   0.01317
   5.00000,   0.00000,  -1.00000,   0.00000,   0.01480
   5.00000,   0.00000,  -0.50000,   0.00000,   0.01554
   5.00000,   0.00000,   0.00000,   0.00000,   0.01582
   5.00000,   0.00000,   0.50000,   0.00000,   0.01561
   5.00000,   0.00000,   1.00000,   0.00000,   0.01493
   5.00000,   0.00000,   1.70000,   0.00000,   0.01337
   5.00000,   0.00000,   2.50000,   0.00000,   0.01093
   5.00000,   0.00000,   4.00000,   0.00000,   0.00543
   5.00000,   0.00000,   6.00000,   0.00000,   0.00107
   5.00000,   0.00000,   9.00000,   0.00000,   0.00005
   5.00000,   0.00000,  12.00000,   0.00000,   0.00001
