x [m],y [m],z [m],zrot [deg.],wba SAR [W/kg]
5.000000E-02,0.000000E+00,-7.500000E-01,0.000000E+00,3.489200E-01
5.000000E-02,0.000000E+00,-2.500000E-01,0.000000E+00,5.367100E-01
5.000000E-02,0.000000E+00,2.500000E-01,0.000000E+00,4.588400E-01
5.000000E-02,0.000000E+00,7.500000E-01,0.000000E+00,2.512500E-01
1.000000E-01,0.000000E+00,-7.500000E-01,0.000000E+00,1.548000E-01
1.000000E-01,0.000000E+00,-2.500000E-01,0.000000E+00,2.898200E-01
1.000000E-01,0.000000E+00,2.500000E-01,0.000000E+00,3.316800E-01
1.000000E-01,0.000000E+00,7.500000E-01,0.000000E+00,2.400800E-01
3.000000E-01,0.000000E+00,-7.500000E-01,0.000000E+00,1.043800E-01
3.000000E-01,0.000000E+00,-2.500000E-01,0.000000E+00,1.721500E-01
3.000000E-01,0.000000E+00,2.500000E-01,0.000000E+00,1.739300E-01
3.000000E-01,0.000000E+00,7.500000E-01,0.000000E+00,1.103400E-01
6.000000E-01,0.000000E+00,-7.500000E-01,0.000000E+00,6.089600E-02
6.000000E-01,0.000000E+00,-2.500000E-01,0.000000E+00,1.022600E-01
6.000000E-01,0.000000E+00,2.500000E-01,0.000000E+00,1.050300E-01
6.000000E-01,0.000000E+00,7.500000E-01,0.000000E+00,6.421100E-02
1.000000E+00,0.000000E+00,-7.500000E-01,0.000000E+00,3.741500E-02
1.000000E+00,0.000000E+00,-2.500000E-01,0.000000E+00,6.412900E-02
1.000000E+00,0.000000E+00,2.500000E-01,0.000000E+00,6.619400E-02
1.000000E+00,0.000000E+00,7.500000E-01,0.000000E+00,4.287100E-02
1.500000E+00,0.000000E+00,-7.500000E-01,0.000000E+00,2.668600E-02
1.500000E+00,0.000000E+00,-2.500000E-01,0.000000E+00,4.645900E-02
1.500000E+00,0.000000E+00,2.500000E-01,0.000000E+00,4.753700E-02
1.500000E+00,0.000000E+00,7.500000E-01,0.000000E+00,2.811100E-02
2.200000E+00,0.000000E+00,-7.500000E-01,0.000000E+00,1.802600E-02
2.200000E+00,0.000000E+00,-2.500000E-01,0.000000E+00,3.184700E-02
2.200000E+00,0.000000E+00,2.500000E-01,0.000000E+00,3.246300E-02
2.200000E+00,0.000000E+00,7.500000E-01,0.000000E+00,1.851600E-02
3.000000E+00,0.000000E+00,-7.500000E-01,0.000000E+00,1.337200E-02
3.000000E+00,0.000000E+00,-2.500000E-01,0.000000E+00,2.353100E-02
3.000000E+00,0.000000E+00,2.500000E-01,0.000000E+00,2.390700E-02
3.000000E+00,0.000000E+00,7.500000E-01,0.000000E+00,1.436700E-02
4.000000E+00,0.000000E+00,-7.500000E-01,0.000000E+00,9.924900E-03
4.000000E+00,0.000000E+00,-2.500000E-01,0.000000E+00,1.759000E-02
4.000000E+00,0.000000E+00,2.500000E-01,0.000000E+00,1.732100E-02
4.000000E+00,0.000000E+00,7.500000E-01,0.000000E+00,1.088000E-02
5.000000E+00,0.000000E+00,-7.500000E-01,0.000000E+00,7.911000E-03
5.000000E+00,0.000000E+00,-2.500000E-01,0.000000E+00,1.405800E-02
5.000000E+00,0.000000E+00,2.500000E-01,0.000000E+00,1.374600E-02
5.000000E+00,0.000000E+00,7.500000E-01,0.000000E+00,8.593600E-03
