x [m],y [m],z [m],zrot [deg.],wba SAR [W/kg]
5.00E-02,0.00E+00,-2.00E+00,0.00E+00,7.07E-06
5.00E-02,0.00E+00,-1.50E+00,0.00E+00,4.84E-05
5.00E-02,0.00E+00,-1.00E+00,0.00E+00,2.92E-02
5.00E-02,0.00E+00,-5.00E-01,0.00E+00,2.94E-01
5.00E-02,0.00E+00,0.00E+00,0.00E+00,3.17E-01
5.00E-02,0.00E+00,5.00E-01,0.00E+00,2.33E-01
5.00E-02,0.00E+00,1.00E+00,0.00E+00,4.40E-02
5.00E-02,0.00E+00,1.50E+00,0.00E+00,6.90E-05
5.00E-02,0.00E+00,2.00E+00,0.00E+00,7.85E-06
7.00E-02,0.00E+00,-2.00E+00,0.00E+00,8.11E-06
7.00E-02,0.00E+00,-1.50E+00,0.00E+00,5.28E-05
7.00E-02,0.00E+00,-1.00E+00,0.00E+00,3.14E-02
7.00E-02,0.00E+00,-5.00E-01,0.00E+00,2.98E-01
7.00E-02,0.00E+00,0.00E+00,0.00E+00,3.41E-01
7.00E-02,0.00E+00,5.00E-01,0.00E+00,2.04E-01
7.00E-02,0.00E+00,1.00E+00,0.00E+00,3.85E-02
7.00E-02,0.00E+00,1.50E+00,0.00E+00,7.45E-05
7.00E-02,0.00E+00,2.00E+00,0.00E+00,9.06E-06
1.00E-01,0.00E+00,-2.00E+00,0.00E+00,9.35E-06
1.00E-01,0.00E+00,-1.50E+00,0.00E+00,5.66E-05
1.00E-01,0.00E+00,-1.00E+00,0.00E+00,2.03E-02
1.00E-01,0.00E+00,-5.00E-01,0.00E+00,2.24E-01
1.00E-01,0.00E+00,0.00E+00,0.00E+00,2.75E-01
1.00E-01,0.00E+00,5.00E-01,0.00E+00,1.88E-01
1.00E-01,0.00E+00,1.00E+00,0.00E+00,3.51E-02
1.00E-01,0.00E+00,1.50E+00,0.00E+00,7.95E-05
1.00E-01,0.00E+00,2.00E+00,0.00E+00,1.05E-05
2.00E-01,0.00E+00,-2.00E+00,0.00E+00,1.60E-05
