x [m],y [m],z [m],zrot [deg.],wba SAR [W/kg]
5.000000E-02,0.000000E+00,-2.000000E+00,0.000000E+00,7.066900E-06
5.000000E-02,0.000000E+00,-1.500000E+00,0.000000E+00,4.843200E-05
5.000000E-02,0.000000E+00,-1.000000E+00,0.000000E+00,2.920100E-02
5.000000E-02,0.000000E+00,-5.000000E-01,0.000000E+00,2.940800E-01
5.000000E-02,0.000000E+00,0.000000E+00,0.000000E+00,3.172400E-01
5.000000E-02,0.000000E+00,5.000000E-01,0.000000E+00,2.329800E-01
5.000000E-02,0.000000E+00,1.000000E+00,0.000000E+00,4.403800E-02
5.000000E-02,0.000000E+00,1.500000E+00,0.000000E+00,6.901900E-05
5.000000E-02,0.000000E+00,2.000000E+00,0.000000E+00,7.846500E-06
7.000000E-02,0.000000E+00,-2.000000E+00,0.000000E+00,8.114300E-06
7.000000E-02,0.000000E+00,-1.500000E+00,0.000000E+00,5.280200E-05
7.000000E-02,0.000000E+00,-1.000000E+00,0.000000E+00,3.143800E-02
7.000000E-02,0.000000E+00,-5.000000E-01,0.000000E+00,2.983200E-01
7.000000E-02,0.000000E+00,0.000000E+00,0.000000E+00,3.407000E-01
7.000000E-02,0.000000E+00,5.000000E-01,0.000000E+00,2.037800E-01
7.000000E-02,0.000000E+00,1.000000E+00,0.000000E+00,3.852100E-02
7.000000E-02,0.000000E+00,1.500000E+00,0.000000E+00,7.447200E-05
7.000000E-02,0.000000E+00,2.000000E+00,0.000000E+00,9.064800E-06
1.000000E-01,0.000000E+00,-2.000000E+00,0.000000E+00,9.353800E-06
1.000000E-01,0.000000E+00,-1.500000E+00,0.000000E+00,5.659500E-05
1.000000E-01,0.000000E+00,-1.000000E+00,0.000000E+00,2.029300E-02
1.000000E-01,0.000000E+00,-5.000000E-01,0.000000E+00,2.241600E-01
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,2.753200E-01
1.000000E-01,0.000000E+00,5.000000E-01,0.000000E+00,1.880300E-01
1.000000E-01,0.000000E+00,1.000000E+00,0.000000E+00,3.513600E-02
1.000000E-01,0.000000E+00,1.500000E+00,0.000000E+00,7.945400E-05
