SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	1.37438716E-03	
1.00000000E+00	1.49560938E-03	
2.00000000E+00	1.86043548E-03	
3.00000000E+00	2.46873711E-03	
4.00000000E+00	3.32007931E-03	
5.00000000E+00	4.41459106E-03	
6.00000000E+00	5.75146558E-03	
7.00000000E+00	7.33060699E-03	
8.00000000E+00	9.15096193E-03	
9.00000000E+00	1.12122922E-02	
1.00000000E+01	1.35135864E-02	
1.10000000E+01	1.60539505E-02	
1.20000000E+01	1.88323386E-02	
1.30000000E+01	2.18479094E-02	
1.40000000E+01	2.50991142E-02	
1.50000000E+01	2.85849985E-02	
1.60000000E+01	3.23031436E-02	
1.70000000E+01	3.62524386E-02	
1.80000000E+01	4.04305852E-02	
1.90000000E+01	4.48361057E-02	
2.00000000E+01	4.94660012E-02	
2.10000000E+01	5.43191442E-02	
2.20000000E+01	5.93905004E-02	
2.30000000E+01	6.46792215E-02	
2.40000000E+01	7.01821169E-02	
2.50000000E+01	7.58945830E-02	
2.60000000E+01	8.18134196E-02	
2.70000000E+01	8.79361361E-02	
2.80000000E+01	9.42559245E-02	
2.90000000E+01	1.00771268E-01	
3.00000000E+01	1.07475489E-01	
3.10000000E+01	1.14363970E-01	
3.20000000E+01	1.21432246E-01	
3.30000000E+01	1.28672377E-01	
3.40000000E+01	1.36081836E-01	
3.50000000E+01	1.43648888E-01	
3.60000000E+01	1.51374514E-01	
3.70000000E+01	1.59246042E-01	
3.80000000E+01	1.67257557E-01	
3.90000000E+01	1.75400758E-01	
4.00000000E+01	1.83669465E-01	
4.10000000E+01	1.92054183E-01	
4.20000000E+01	2.00544363E-01	
4.30000000E+01	2.09132862E-01	
4.40000000E+01	2.17812304E-01	
4.50000000E+01	2.26566373E-01	
4.60000000E+01	2.35390898E-01	
4.70000000E+01	2.44272750E-01	
4.80000000E+01	2.53202898E-01	
4.90000000E+01	2.62166203E-01	
5.00000000E+01	2.71158278E-01	
5.10000000E+01	2.80158599E-01	
5.20000000E+01	2.89160232E-01	
5.30000000E+01	2.98152821E-01	
5.40000000E+01	3.07122328E-01	
5.50000000E+01	3.16054238E-01	
5.60000000E+01	3.24936052E-01	
5.70000000E+01	3.33753647E-01	
5.80000000E+01	3.42499473E-01	
5.90000000E+01	3.51152293E-01	
6.00000000E+01	3.59705081E-01	
6.10000000E+01	3.68139851E-01	
6.20000000E+01	3.76450024E-01	
6.30000000E+01	3.84612755E-01	
6.40000000E+01	3.92622969E-01	
6.50000000E+01	4.00462846E-01	
6.60000000E+01	4.08119102E-01	
6.70000000E+01	4.15576974E-01	
6.80000000E+01	4.22831955E-01	
6.90000000E+01	4.29861130E-01	
7.00000000E+01	4.36658389E-01	
7.10000000E+01	4.43214372E-01	
7.20000000E+01	4.49503910E-01	
7.30000000E+01	4.55531310E-01	
7.40000000E+01	4.61273006E-01	
7.50000000E+01	4.66726686E-01	
7.60000000E+01	4.71881180E-01	
7.70000000E+01	4.76724224E-01	
7.80000000E+01	4.81241518E-01	
7.90000000E+01	4.85434206E-01	
8.00000000E+01	4.89291006E-01	
8.10000000E+01	4.92802276E-01	
8.20000000E+01	4.95961087E-01	
8.30000000E+01	4.98767958E-01	
8.40000000E+01	5.01207011E-01	
8.50000000E+01	5.03283492E-01	
8.60000000E+01	5.04985934E-01	
8.70000000E+01	5.06312655E-01	
8.80000000E+01	5.07267083E-01	
8.90000000E+01	5.07832487E-01	
9.00000000E+01	5.08025248E-01	
