SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	7.97435878E-02	
1.00000000E+00	7.96830592E-02	
2.00000000E+00	7.95227822E-02	
3.00000000E+00	7.92657628E-02	
4.00000000E+00	7.89169553E-02	
5.00000000E+00	7.84835934E-02	
6.00000000E+00	7.79752567E-02	
7.00000000E+00	7.74042383E-02	
8.00000000E+00	7.67858683E-02	
9.00000000E+00	7.61385218E-02	
1.00000000E+01	7.54839490E-02	
1.10000000E+01	7.48471984E-02	
1.20000000E+01	7.42564973E-02	
1.30000000E+01	7.37426845E-02	
1.40000000E+01	7.33384463E-02	
1.50000000E+01	7.30772296E-02	
1.60000000E+01	7.29916547E-02	
1.70000000E+01	7.31112250E-02	
1.80000000E+01	7.34601620E-02	
1.90000000E+01	7.40545732E-02	
2.00000000E+01	7.48993444E-02	
2.10000000E+01	7.59860082E-02	
2.20000000E+01	7.72900971E-02	
2.30000000E+01	7.87700560E-02	
2.40000000E+01	8.03677259E-02	
2.50000000E+01	8.20102149E-02	
2.60000000E+01	8.36142721E-02	
2.70000000E+01	8.50928529E-02	
2.80000000E+01	8.63639742E-02	
2.90000000E+01	8.73604650E-02	
3.00000000E+01	8.80406325E-02	
3.10000000E+01	8.83974209E-02	
3.20000000E+01	8.84643559E-02	
3.30000000E+01	8.83167395E-02	
3.40000000E+01	8.80663827E-02	
3.50000000E+01	8.78489448E-02	
3.60000000E+01	8.78050054E-02	
3.70000000E+01	8.80564101E-02	
3.80000000E+01	8.86822870E-02	
3.90000000E+01	8.96989990E-02	
4.00000000E+01	9.10507949E-02	
4.10000000E+01	9.26138335E-02	
4.20000000E+01	9.42175390E-02	
4.30000000E+01	9.56804020E-02	
4.40000000E+01	9.68551866E-02	
4.50000000E+01	9.76725073E-02	
4.60000000E+01	9.81710400E-02	
4.70000000E+01	9.85034559E-02	
4.80000000E+01	9.89101880E-02	
4.90000000E+01	9.96628746E-02	
5.00000000E+01	1.00989069E-01	
5.10000000E+01	1.02997159E-01	
5.20000000E+01	1.05626107E-01	
5.30000000E+01	1.08639568E-01	
5.40000000E+01	1.11675257E-01	
5.50000000E+01	1.14340077E-01	
5.60000000E+01	1.16326145E-01	
5.70000000E+01	1.17508864E-01	
5.80000000E+01	1.17989982E-01	
5.90000000E+01	1.18062909E-01	
6.00000000E+01	1.18106323E-01	
6.10000000E+01	1.18440979E-01	
6.20000000E+01	1.19207418E-01	
6.30000000E+01	1.20320241E-01	
6.40000000E+01	1.21527043E-01	
6.50000000E+01	1.22555542E-01	
6.60000000E+01	1.23284470E-01	
6.70000000E+01	1.23847703E-01	
6.80000000E+01	1.24598476E-01	
6.90000000E+01	1.25918042E-01	
7.00000000E+01	1.27938785E-01	
7.10000000E+01	1.30320200E-01	
7.20000000E+01	1.32235304E-01	
7.30000000E+01	1.32660095E-01	
7.40000000E+01	1.30925469E-01	
7.50000000E+01	1.27332650E-01	
7.60000000E+01	1.23527547E-01	
7.70000000E+01	1.22345155E-01	
7.80000000E+01	1.26997012E-01	
7.90000000E+01	1.39750646E-01	
8.00000000E+01	1.60534376E-01	
8.10000000E+01	1.86060755E-01	
8.20000000E+01	2.09992666E-01	
8.30000000E+01	2.24366698E-01	
8.40000000E+01	2.22002938E-01	
8.50000000E+01	1.99177636E-01	
8.60000000E+01	1.57592310E-01	
8.70000000E+01	1.04790123E-01	
8.80000000E+01	5.26449514E-02	
8.90000000E+01	1.42292409E-02	
9.00000000E+01	0.00000000E+00	
