SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	6.07428473E-02	
1.00000000E+00	6.07911607E-02	
2.00000000E+00	6.07582490E-02	
3.00000000E+00	6.06457030E-02	
4.00000000E+00	6.04579068E-02	
5.00000000E+00	6.02021314E-02	
6.00000000E+00	5.98889454E-02	
7.00000000E+00	5.95324061E-02	
8.00000000E+00	5.91506043E-02	
9.00000000E+00	5.87661278E-02	
1.00000000E+01	5.84064882E-02	
1.10000000E+01	5.81041704E-02	
1.20000000E+01	5.78966207E-02	
1.30000000E+01	5.78250661E-02	
1.40000000E+01	5.79329406E-02	
1.50000000E+01	5.82624575E-02	
1.60000000E+01	5.88503607E-02	
1.70000000E+01	5.97221642E-02	
1.80000000E+01	6.08858166E-02	
1.90000000E+01	6.23258975E-02	
2.00000000E+01	6.39993434E-02	
2.10000000E+01	6.58351764E-02	
2.20000000E+01	6.77392830E-02	
2.30000000E+01	6.96055690E-02	
2.40000000E+01	7.13325613E-02	
2.50000000E+01	7.28432342E-02	
2.60000000E+01	7.41030472E-02	
2.70000000E+01	7.51307263E-02	
2.80000000E+01	7.59958450E-02	
2.90000000E+01	7.68014141E-02	
3.00000000E+01	7.76540856E-02	
3.10000000E+01	7.86318011E-02	
3.20000000E+01	7.97629360E-02	
3.30000000E+01	8.10294026E-02	
3.40000000E+01	8.23999154E-02	
3.50000000E+01	8.38807826E-02	
3.60000000E+01	8.55598326E-02	
3.70000000E+01	8.76073129E-02	
3.80000000E+01	9.02114140E-02	
3.90000000E+01	9.34564557E-02	
4.00000000E+01	9.71948922E-02	
4.10000000E+01	1.00993899E-01	
4.20000000E+01	1.04227699E-01	
4.30000000E+01	1.06320260E-01	
4.40000000E+01	1.07046517E-01	
4.50000000E+01	1.06721413E-01	
4.60000000E+01	1.06119675E-01	
4.70000000E+01	1.06100193E-01	
4.80000000E+01	1.07111163E-01	
4.90000000E+01	1.08894531E-01	
5.00000000E+01	1.10652904E-01	
5.10000000E+01	1.11658118E-01	
5.20000000E+01	1.11921466E-01	
5.30000000E+01	1.12385144E-01	
5.40000000E+01	1.14350424E-01	
5.50000000E+01	1.18437976E-01	
5.60000000E+01	1.23866886E-01	
5.70000000E+01	1.28762223E-01	
5.80000000E+01	1.31448841E-01	
5.90000000E+01	1.31773707E-01	
6.00000000E+01	1.31261091E-01	
6.10000000E+01	1.31762807E-01	
6.20000000E+01	1.33662266E-01	
6.30000000E+01	1.35351162E-01	
6.40000000E+01	1.34754670E-01	
6.50000000E+01	1.31719010E-01	
6.60000000E+01	1.28926716E-01	
6.70000000E+01	1.30072072E-01	
6.80000000E+01	1.36655798E-01	
6.90000000E+01	1.46410917E-01	
7.00000000E+01	1.55073237E-01	
7.10000000E+01	1.59892935E-01	
7.20000000E+01	1.61363611E-01	
7.30000000E+01	1.61493509E-01	
7.40000000E+01	1.60886801E-01	
7.50000000E+01	1.58419743E-01	
7.60000000E+01	1.54107241E-01	
7.70000000E+01	1.51203027E-01	
7.80000000E+01	1.53576182E-01	
7.90000000E+01	1.60251803E-01	
8.00000000E+01	1.64278075E-01	
8.10000000E+01	1.60067128E-01	
8.20000000E+01	1.53062733E-01	
8.30000000E+01	1.59270791E-01	
8.40000000E+01	1.89868618E-01	
8.50000000E+01	2.33125345E-01	
8.60000000E+01	2.54258240E-01	
8.70000000E+01	2.20678517E-01	
8.80000000E+01	1.34385634E-01	
8.90000000E+01	4.07480445E-02	
9.00000000E+01	0.00000000E+00	
