SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	8.96963145E-02	
1.00000000E+00	8.90280575E-02	
2.00000000E+00	8.86558241E-02	
3.00000000E+00	8.85709466E-02	
4.00000000E+00	8.87589490E-02	
5.00000000E+00	8.92011471E-02	
6.00000000E+00	8.98772829E-02	
7.00000000E+00	9.07686764E-02	
8.00000000E+00	9.18620978E-02	
9.00000000E+00	9.31540307E-02	
1.00000000E+01	9.46546349E-02	
1.10000000E+01	9.63908279E-02	
1.20000000E+01	9.84070893E-02	
1.30000000E+01	1.00762931E-01	
1.40000000E+01	1.03525651E-01	
1.50000000E+01	1.06758117E-01	
1.60000000E+01	1.10501866E-01	
1.70000000E+01	1.14757565E-01	
1.80000000E+01	1.19466538E-01	
1.90000000E+01	1.24499600E-01	
2.00000000E+01	1.29658205E-01	
2.10000000E+01	1.34693832E-01	
2.20000000E+01	1.39346429E-01	
2.30000000E+01	1.43397985E-01	
2.40000000E+01	1.46729904E-01	
2.50000000E+01	1.49367066E-01	
2.60000000E+01	1.51490006E-01	
2.70000000E+01	1.53401357E-01	
2.80000000E+01	1.55447131E-01	
2.90000000E+01	1.57910216E-01	
3.00000000E+01	1.60911733E-01	
3.10000000E+01	1.64361206E-01	
3.20000000E+01	1.67985898E-01	
3.30000000E+01	1.71436130E-01	
3.40000000E+01	1.74429095E-01	
3.50000000E+01	1.76861531E-01	
3.60000000E+01	1.78829112E-01	
3.70000000E+01	1.80535150E-01	
3.80000000E+01	1.82139901E-01	
3.90000000E+01	1.83654657E-01	
4.00000000E+01	1.84973847E-01	
4.10000000E+01	1.86051287E-01	
4.20000000E+01	1.87101475E-01	
4.30000000E+01	1.88636527E-01	
4.40000000E+01	1.91210427E-01	
4.50000000E+01	1.94955234E-01	
4.60000000E+01	1.99218598E-01	
4.70000000E+01	2.02672945E-01	
4.80000000E+01	2.04014778E-01	
4.90000000E+01	2.02916217E-01	
5.00000000E+01	2.00534569E-01	
5.10000000E+01	1.99014701E-01	
5.20000000E+01	2.00081865E-01	
5.30000000E+01	2.03639057E-01	
5.40000000E+01	2.07538026E-01	
5.50000000E+01	2.08987128E-01	
5.60000000E+01	2.06739665E-01	
5.70000000E+01	2.02330911E-01	
5.80000000E+01	1.99138580E-01	
5.90000000E+01	1.99788369E-01	
6.00000000E+01	2.04010137E-01	
6.10000000E+01	2.08912374E-01	
6.20000000E+01	2.11584628E-01	
6.30000000E+01	2.11701948E-01	
6.40000000E+01	2.11614416E-01	
6.50000000E+01	2.13756436E-01	
6.60000000E+01	2.17950439E-01	
6.70000000E+01	2.21424770E-01	
6.80000000E+01	2.21579938E-01	
6.90000000E+01	2.18538317E-01	
7.00000000E+01	2.14700048E-01	
7.10000000E+01	2.11982362E-01	
7.20000000E+01	2.10242627E-01	
7.30000000E+01	2.08940283E-01	
7.40000000E+01	2.09683688E-01	
7.50000000E+01	2.15448107E-01	
7.60000000E+01	2.26165102E-01	
7.70000000E+01	2.36056756E-01	
7.80000000E+01	2.37857311E-01	
7.90000000E+01	2.31176460E-01	
8.00000000E+01	2.25134655E-01	
8.10000000E+01	2.29259458E-01	
8.20000000E+01	2.40199002E-01	
8.30000000E+01	2.40374595E-01	
8.40000000E+01	2.15389353E-01	
8.50000000E+01	1.75826890E-01	
8.60000000E+01	1.58622898E-01	
8.70000000E+01	1.99037633E-01	
8.80000000E+01	2.94574058E-01	
8.90000000E+01	3.95965936E-01	
9.00000000E+01	4.39448252E-01	
