SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	2.85767908E-02	
1.00000000E+00	2.85454921E-02	
2.00000000E+00	2.86581578E-02	
3.00000000E+00	2.89334315E-02	
4.00000000E+00	2.93983457E-02	
5.00000000E+00	3.00861461E-02	
6.00000000E+00	3.10312985E-02	
7.00000000E+00	3.22604284E-02	
8.00000000E+00	3.37798582E-02	
9.00000000E+00	3.55633949E-02	
1.00000000E+01	3.75482212E-02	
1.10000000E+01	3.96467165E-02	
1.20000000E+01	4.17757712E-02	
1.30000000E+01	4.38896148E-02	
1.40000000E+01	4.59899960E-02	
1.50000000E+01	4.80951271E-02	
1.60000000E+01	5.01857620E-02	
1.70000000E+01	5.21833540E-02	
1.80000000E+01	5.39984820E-02	
1.90000000E+01	5.56075605E-02	
2.00000000E+01	5.70673088E-02	
2.10000000E+01	5.84555643E-02	
2.20000000E+01	5.98363522E-02	
2.30000000E+01	6.12758653E-02	
2.40000000E+01	6.27885219E-02	
2.50000000E+01	6.42493740E-02	
2.60000000E+01	6.55495751E-02	
2.70000000E+01	6.68426595E-02	
2.80000000E+01	6.82595552E-02	
2.90000000E+01	6.94581746E-02	
3.00000000E+01	7.01579424E-02	
3.10000000E+01	7.07911373E-02	
3.20000000E+01	7.16149965E-02	
3.30000000E+01	7.21761994E-02	
3.40000000E+01	7.25835939E-02	
3.50000000E+01	7.33354906E-02	
3.60000000E+01	7.41251677E-02	
3.70000000E+01	7.49638575E-02	
3.80000000E+01	7.60494258E-02	
3.90000000E+01	7.66670250E-02	
4.00000000E+01	7.69439318E-02	
4.10000000E+01	7.71263241E-02	
4.20000000E+01	7.71402367E-02	
4.30000000E+01	7.80242820E-02	
4.40000000E+01	7.87659009E-02	
4.50000000E+01	7.87596341E-02	
4.60000000E+01	7.91084094E-02	
4.70000000E+01	7.88658335E-02	
4.80000000E+01	7.89224395E-02	
4.90000000E+01	7.94564455E-02	
5.00000000E+01	7.98628283E-02	
5.10000000E+01	8.01862006E-02	
5.20000000E+01	8.01377388E-02	
5.30000000E+01	7.99850413E-02	
5.40000000E+01	7.95865872E-02	
5.50000000E+01	8.00792889E-02	
5.60000000E+01	7.97109243E-02	
5.70000000E+01	8.01807190E-02	
5.80000000E+01	7.97357429E-02	
5.90000000E+01	7.93889750E-02	
6.00000000E+01	7.93023343E-02	
6.10000000E+01	7.91503982E-02	
6.20000000E+01	7.91687277E-02	
6.30000000E+01	7.89761155E-02	
6.40000000E+01	7.86301333E-02	
6.50000000E+01	7.85994422E-02	
6.60000000E+01	7.82110482E-02	
6.70000000E+01	7.84101540E-02	
6.80000000E+01	7.81664384E-02	
6.90000000E+01	7.81283440E-02	
7.00000000E+01	7.82083959E-02	
7.10000000E+01	7.82575332E-02	
7.20000000E+01	7.85320639E-02	
7.30000000E+01	7.87650807E-02	
7.40000000E+01	7.90929051E-02	
7.50000000E+01	7.96829097E-02	
7.60000000E+01	8.05139597E-02	
7.70000000E+01	8.07023002E-02	
7.80000000E+01	8.22737969E-02	
7.90000000E+01	8.29075387E-02	
8.00000000E+01	8.66709092E-02	
8.10000000E+01	8.52377875E-02	
8.20000000E+01	8.93620349E-02	
8.30000000E+01	9.11041453E-02	
8.40000000E+01	1.01970437E-01	
8.50000000E+01	1.04561541E-01	
8.60000000E+01	1.05452001E-01	
8.70000000E+01	1.05585830E-01	
8.80000000E+01	1.47432380E-01	
8.90000000E+01	1.69729430E-01	
9.00000000E+01	0.00000000E+00	
