SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	1.40231983E-01	
1.00000000E+00	1.40250417E-01	
2.00000000E+00	1.40241625E-01	
3.00000000E+00	1.40203882E-01	
4.00000000E+00	1.40134639E-01	
5.00000000E+00	1.40029989E-01	
6.00000000E+00	1.39885143E-01	
7.00000000E+00	1.39694193E-01	
8.00000000E+00	1.39450329E-01	
9.00000000E+00	1.39145713E-01	
1.00000000E+01	1.38771734E-01	
1.10000000E+01	1.38318744E-01	
1.20000000E+01	1.37776782E-01	
1.30000000E+01	1.37134985E-01	
1.40000000E+01	1.36382352E-01	
1.50000000E+01	1.35507867E-01	
1.60000000E+01	1.34500679E-01	
1.70000000E+01	1.33350324E-01	
1.80000000E+01	1.32047585E-01	
1.90000000E+01	1.30584694E-01	
2.00000000E+01	1.28955528E-01	
2.10000000E+01	1.27156534E-01	
2.20000000E+01	1.25187483E-01	
2.30000000E+01	1.23051503E-01	
2.40000000E+01	1.20755959E-01	
2.50000000E+01	1.18312886E-01	
2.60000000E+01	1.15740078E-01	
2.70000000E+01	1.13059985E-01	
2.80000000E+01	1.10301802E-01	
2.90000000E+01	1.07500297E-01	
3.00000000E+01	1.04696273E-01	
3.10000000E+01	1.01935965E-01	
3.20000000E+01	9.92707790E-02	
3.30000000E+01	9.67560353E-02	
3.40000000E+01	9.44502165E-02	
3.50000000E+01	9.24132179E-02	
3.60000000E+01	9.07046342E-02	
3.70000000E+01	8.93816634E-02	
3.80000000E+01	8.84967772E-02	
3.90000000E+01	8.80953160E-02	
4.00000000E+01	8.82127823E-02	
4.10000000E+01	8.88717370E-02	
4.20000000E+01	9.00797278E-02	
4.30000000E+01	9.18263796E-02	
4.40000000E+01	9.40813142E-02	
4.50000000E+01	9.67928738E-02	
4.60000000E+01	9.98869421E-02	
4.70000000E+01	1.03267028E-01	
4.80000000E+01	1.06815886E-01	
4.90000000E+01	1.10398041E-01	
5.00000000E+01	1.13863512E-01	
5.10000000E+01	1.17054870E-01	
5.20000000E+01	1.19813575E-01	
5.30000000E+01	1.21990100E-01	
5.40000000E+01	1.23453926E-01	
5.50000000E+01	1.24105374E-01	
5.60000000E+01	1.23887137E-01	
5.70000000E+01	1.22795117E-01	
5.80000000E+01	1.20887735E-01	
5.90000000E+01	1.18292954E-01	
6.00000000E+01	1.15209468E-01	
6.10000000E+01	1.11904829E-01	
6.20000000E+01	1.08705170E-01	
6.30000000E+01	1.05979699E-01	
6.40000000E+01	1.04117877E-01	
6.50000000E+01	1.03499519E-01	
6.60000000E+01	1.04461906E-01	
6.70000000E+01	1.07262854E-01	
6.80000000E+01	1.12043833E-01	
6.90000000E+01	1.18799163E-01	
7.00000000E+01	1.27351272E-01	
7.10000000E+01	1.37337465E-01	
7.20000000E+01	1.48212221E-01	
7.30000000E+01	1.59265982E-01	
7.40000000E+01	1.69661780E-01	
7.50000000E+01	1.78490458E-01	
7.60000000E+01	1.84836915E-01	
7.70000000E+01	1.87860471E-01	
7.80000000E+01	1.86874190E-01	
7.90000000E+01	1.81423577E-01	
8.00000000E+01	1.71350616E-01	
8.10000000E+01	1.56839969E-01	
8.20000000E+01	1.38438534E-01	
8.30000000E+01	1.17042289E-01	
8.40000000E+01	9.38549813E-02	
8.50000000E+01	7.03118494E-02	
8.60000000E+01	4.79806406E-02	
8.70000000E+01	2.84427870E-02	
8.80000000E+01	1.31675095E-02	
8.90000000E+01	3.38915526E-03	
9.00000000E+01	0.00000000E+00	
