SAR
"Plane Wave Theta"[deg]	"humanWBA_SAR [W/kg]"	
0.00000000E+00	7.50507384E-02	
1.00000000E+00	7.54110768E-02	
2.00000000E+00	7.59305276E-02	
3.00000000E+00	7.66132896E-02	
4.00000000E+00	7.74655511E-02	
5.00000000E+00	7.84948097E-02	
6.00000000E+00	7.97098001E-02	
7.00000000E+00	8.11195639E-02	
8.00000000E+00	8.27323335E-02	
9.00000000E+00	8.45546817E-02	
1.00000000E+01	8.65893663E-02	
1.10000000E+01	8.88342100E-02	
1.20000000E+01	9.12794710E-02	
1.30000000E+01	9.39067276E-02	
1.40000000E+01	9.66861547E-02	
1.50000000E+01	9.95760067E-02	
1.60000000E+01	1.02521415E-01	
1.70000000E+01	1.05455267E-01	
1.80000000E+01	1.08299924E-01	
1.90000000E+01	1.10970943E-01	
2.00000000E+01	1.13382478E-01	
2.10000000E+01	1.15454470E-01	
2.20000000E+01	1.17121277E-01	
2.30000000E+01	1.18340751E-01	
2.40000000E+01	1.19103394E-01	
2.50000000E+01	1.19438621E-01	
2.60000000E+01	1.19418434E-01	
2.70000000E+01	1.19155817E-01	
2.80000000E+01	1.18796624E-01	
2.90000000E+01	1.18505655E-01	
3.00000000E+01	1.18446018E-01	
3.10000000E+01	1.18755426E-01	
3.20000000E+01	1.19521209E-01	
3.30000000E+01	1.20759828E-01	
3.40000000E+01	1.22404418E-01	
3.50000000E+01	1.24305166E-01	
3.60000000E+01	1.26245484E-01	
3.70000000E+01	1.27971696E-01	
3.80000000E+01	1.29235843E-01	
3.90000000E+01	1.29841160E-01	
4.00000000E+01	1.29682609E-01	
4.10000000E+01	1.28772781E-01	
4.20000000E+01	1.27243780E-01	
4.30000000E+01	1.25323348E-01	
4.40000000E+01	1.23287738E-01	
4.50000000E+01	1.21400264E-01	
4.60000000E+01	1.19852991E-01	
4.70000000E+01	1.18724961E-01	
4.80000000E+01	1.17970872E-01	
4.90000000E+01	1.17446097E-01	
5.00000000E+01	1.16958540E-01	
5.10000000E+01	1.16334752E-01	
5.20000000E+01	1.15476640E-01	
5.30000000E+01	1.14389334E-01	
5.40000000E+01	1.13171014E-01	
5.50000000E+01	1.11967862E-01	
5.60000000E+01	1.10912307E-01	
5.70000000E+01	1.10070564E-01	
5.80000000E+01	1.09421972E-01	
5.90000000E+01	1.08880483E-01	
6.00000000E+01	1.08346486E-01	
6.10000000E+01	1.07765691E-01	
6.20000000E+01	1.07161293E-01	
6.30000000E+01	1.06620878E-01	
6.40000000E+01	1.06240477E-01	
6.50000000E+01	1.06053252E-01	
6.60000000E+01	1.05985730E-01	
6.70000000E+01	1.05872871E-01	
6.80000000E+01	1.05535747E-01	
6.90000000E+01	1.04886633E-01	
7.00000000E+01	1.04000206E-01	
7.10000000E+01	1.03096882E-01	
7.20000000E+01	1.02429005E-01	
7.30000000E+01	1.02121147E-01	
7.40000000E+01	1.02068115E-01	
7.50000000E+01	1.01989308E-01	
7.60000000E+01	1.01669513E-01	
7.70000000E+01	1.01299185E-01	
7.80000000E+01	1.01716407E-01	
7.90000000E+01	1.04323847E-01	
8.00000000E+01	1.10549961E-01	
8.10000000E+01	1.20939567E-01	
8.20000000E+01	1.34213045E-01	
8.30000000E+01	1.46801194E-01	
8.40000000E+01	1.53317053E-01	
8.50000000E+01	1.48135801E-01	
8.60000000E+01	1.27773680E-01	
8.70000000E+01	9.32885406E-02	
8.80000000E+01	5.16823672E-02	
8.90000000E+01	1.54499435E-02	
9.00000000E+01	0.00000000E+00	
