f[MHz],er,sigma [S/m],Pabs [W],SAR (whole body average) [W/kg]
30,36.7241,0.2632,0.0013,2.14E-05
30,36.7241,0.3509,0.00116,1.91E-05
30,36.7241,0.4387,0.00103,1.69E-05
30,36.7241,0.5264,0.00091488,1.51E-05
30,36.7241,0.6142,0.000823,1.36E-05
30,48.9654,0.2632,0.00121,2.00E-05
30,48.9654,0.3509,0.00111,1.82E-05
30,48.9654,0.4387,0.000993,1.64E-05
30,48.9654,0.5264,0.000893,1.47E-05
30,48.9654,0.6142,0.000808,1.33E-05
30,61.2068,0.2632,0.00113,1.86E-05
30,61.2068,0.3509,0.00105,1.73E-05
30,61.2068,0.4387,0.000959,1.58E-05
30,61.2068,0.5264,0.00087,1.43E-05
30,61.2068,0.6142,0.000793,1.30E-05
30,73.4482,0.2632,0.00105,1.73E-05
30,73.4482,0.3509,0.001,1.65E-05
30,73.4482,0.4387,0.000925,1.52E-05
30,73.4482,0.5264,0.000847,1.39E-05
30,73.4482,0.6142,0.000776,1.28E-05
30,85.6895,0.2632,0.000976,1.61E-05
30,85.6895,0.3509,0.000951,1.57E-05
30,85.6895,0.4387,0.00089,1.47E-05
30,85.6895,0.5264,0.000823,1.35E-05
30,85.6895,0.6142,0.000759,1.25E-05
40,33.0301,0.2677,0.00237,3.89E-05
40,33.0301,0.3569,0.00231,3.80E-05
40,33.0301,0.4461,0.00217,3.58E-05
40,33.0301,0.5354,0.00203,3.34E-05
40,33.0301,0.6246,0.00189,3.11E-05
40,44.0401,0.2677,0.00218,3.59E-05
40,44.0401,0.3569,0.00218,3.58E-05
40,44.0401,0.4461,0.00208,3.43E-05
40,44.0401,0.5354,0.00196,3.23E-05
40,44.0401,0.6246,0.00184,3.03E-05
40,55.0502,0.2677,0.00201,3.32E-05
40,55.0502,0.3569,0.00205,3.37E-05
40,55.0502,0.4461,0.00199,3.28E-05
40,55.0502,0.5354,0.00189,3.12E-05
40,55.0502,0.6246,0.00179,2.94E-05
40,66.0602,0.2677,0.00186,3.06E-05
40,66.0602,0.3569,0.00193,3.18E-05
40,66.0602,0.4461,0.0019,3.13E-05
40,66.0602,0.5354,0.00183,3.01E-05
40,66.0602,0.6246,0.00174,2.86E-05
40,77.0702,0.2677,0.00172,2.83E-05
40,77.0702,0.3569,0.00182,2.99E-05
40,77.0702,0.4461,0.00181,2.99E-05
40,77.0702,0.5354,0.00176,2.90E-05
40,77.0702,0.6246,0.00169,2.78E-05
50,30.8247,0.2712,0.00366,6.03E-05
50,30.8247,0.3616,0.0039,6.42E-05
50,30.8247,0.4521,0.00396,6.52E-05
50,30.8247,0.5425,0.00392,6.46E-05
50,30.8247,0.6329,0.00384,6.32E-05
50,41.0996,0.2712,0.0034,5.60E-05
50,41.0996,0.3616,0.00368,6.07E-05
50,41.0996,0.4521,0.00378,6.23E-05
50,41.0996,0.5425,0.00378,6.23E-05
50,41.0996,0.6329,0.00373,6.13E-05
50,51.3746,0.2712,0.00316,5.21E-05
50,51.3746,0.3616,0.00348,5.73E-05
50,51.3746,0.4521,0.00362,5.95E-05
50,51.3746,0.5425,0.00364,6.00E-05
50,51.3746,0.6329,0.00361,5.95E-05
50,61.6495,0.2712,0.00295,4.85E-05
50,61.6495,0.3616,0.00329,5.41E-05
50,61.6495,0.4521,0.00345,5.69E-05
50,61.6495,0.5425,0.00351,5.78E-05
50,61.6495,0.6329,0.0035,5.77E-05
50,71.9244,0.2712,0.00275,4.53E-05
50,71.9244,0.3616,0.00311,5.12E-05
50,71.9244,0.4521,0.0033,5.43E-05
50,71.9244,0.5425,0.00338,5.57E-05
50,71.9244,0.6329,0.0034,5.59E-05
60,29.354,0.2742,0.00476,7.85E-05
60,29.354,0.3656,0.00533,8.77E-05
60,29.354,0.457,0.00567,9.33E-05
60,29.354,0.5484,0.00587,9.67E-05
60,29.354,0.6398,0.00599,9.86E-05
60,39.1387,0.2742,0.00455,7.49E-05
60,39.1387,0.3656,0.00514,8.46E-05
60,39.1387,0.457,0.0055,9.06E-05
60,39.1387,0.5484,0.00573,9.43E-05
60,39.1387,0.6398,0.00587,9.66E-05
60,48.9234,0.2742,0.00435,7.15E-05
60,48.9234,0.3656,0.00495,8.15E-05
60,48.9234,0.457,0.00534,8.80E-05
60,48.9234,0.5484,0.00559,9.21E-05
60,48.9234,0.6398,0.00575,9.46E-05
60,58.7081,0.2742,0.00416,6.84E-05
60,58.7081,0.3656,0.00478,7.87E-05
60,58.7081,0.457,0.00519,8.54E-05
60,58.7081,0.5484,0.00546,8.99E-05
60,58.7081,0.6398,0.00563,9.27E-05
60,68.4928,0.2742,0.00398,6.56E-05
60,68.4928,0.3656,0.00461,7.59E-05
60,68.4928,0.457,0.00504,8.30E-05
60,68.4928,0.5484,0.00533,8.77E-05
60,68.4928,0.6398,0.00552,9.08E-05
65,28.7873,0.2755,0.00506,8.34E-05
65,28.7873,0.3674,0.00565,9.30E-05
65,28.7873,0.4592,0.00602,9.91E-05
65,28.7873,0.5511,0.00625,1.03E-04
65,28.7873,0.6429,0.00639,1.05E-04
65,38.383,0.2755,0.00492,8.10E-05
