f[MHz],er,sigma [S/m],Pabs [W],SAR (whole body average) [W/kg]
3.00000E+01,3.67241E+01,2.63200E-01,1.30020E-03,2.14080E-05
3.00000E+01,3.67241E+01,3.50900E-01,1.15920E-03,1.90860E-05
3.00000E+01,3.67241E+01,4.38700E-01,1.02640E-03,1.69000E-05
3.00000E+01,3.67241E+01,5.26400E-01,9.14880E-04,1.50630E-05
3.00000E+01,3.67241E+01,6.14200E-01,8.23270E-04,1.35550E-05
3.00000E+01,4.89654E+01,2.63200E-01,1.21290E-03,1.99700E-05
3.00000E+01,4.89654E+01,3.50900E-01,1.10640E-03,1.82170E-05
3.00000E+01,4.89654E+01,4.38700E-01,9.93160E-04,1.63520E-05
3.00000E+01,4.89654E+01,5.26400E-01,8.92970E-04,1.47030E-05
3.00000E+01,4.89654E+01,6.14200E-01,8.08290E-04,1.33080E-05
3.00000E+01,6.12068E+01,2.63200E-01,1.12920E-03,1.85920E-05
3.00000E+01,6.12068E+01,3.50900E-01,1.05360E-03,1.73480E-05
3.00000E+01,6.12068E+01,4.38700E-01,9.59070E-04,1.57910E-05
3.00000E+01,6.12068E+01,5.26400E-01,8.70170E-04,1.43270E-05
3.00000E+01,6.12068E+01,6.14200E-01,7.92520E-04,1.30490E-05
3.00000E+01,7.34482E+01,2.63200E-01,1.05000E-03,1.72880E-05
3.00000E+01,7.34482E+01,3.50900E-01,1.00150E-03,1.64900E-05
3.00000E+01,7.34482E+01,4.38700E-01,9.24560E-04,1.52230E-05
3.00000E+01,7.34482E+01,5.26400E-01,8.46690E-04,1.39410E-05
3.00000E+01,7.34482E+01,6.14200E-01,7.76120E-04,1.27790E-05
3.00000E+01,8.56895E+01,2.63200E-01,9.75790E-04,1.60660E-05
3.00000E+01,8.56895E+01,3.50900E-01,9.50630E-04,1.56520E-05
3.00000E+01,8.56895E+01,4.38700E-01,8.89970E-04,1.46530E-05
3.00000E+01,8.56895E+01,5.26400E-01,8.22760E-04,1.35470E-05
3.00000E+01,8.56895E+01,6.14200E-01,7.59190E-04,1.25000E-05
4.00000E+01,3.30301E+01,2.67700E-01,2.36510E-03,3.89410E-05
4.00000E+01,3.30301E+01,3.56900E-01,2.30530E-03,3.79560E-05
4.00000E+01,3.30301E+01,4.46100E-01,2.17310E-03,3.57800E-05
4.00000E+01,3.30301E+01,5.35400E-01,2.02680E-03,3.33710E-05
4.00000E+01,3.30301E+01,6.24600E-01,1.88720E-03,3.10720E-05
4.00000E+01,4.40401E+01,2.67700E-01,2.18260E-03,3.59360E-05
4.00000E+01,4.40401E+01,3.56900E-01,2.17500E-03,3.58110E-05
4.00000E+01,4.40401E+01,4.46100E-01,2.08080E-03,3.42600E-05
4.00000E+01,4.40401E+01,5.35400E-01,1.96030E-03,3.22770E-05
4.00000E+01,4.40401E+01,6.24600E-01,1.83830E-03,3.02670E-05
4.00000E+01,5.50502E+01,2.67700E-01,2.01410E-03,3.31620E-05
4.00000E+01,5.50502E+01,3.56900E-01,2.04970E-03,3.37490E-05
4.00000E+01,5.50502E+01,4.46100E-01,1.98960E-03,3.27590E-05
4.00000E+01,5.50502E+01,5.35400E-01,1.89350E-03,3.11770E-05
4.00000E+01,5.50502E+01,6.24600E-01,1.78860E-03,2.94490E-05
4.00000E+01,6.60602E+01,2.67700E-01,1.85970E-03,3.06200E-05
4.00000E+01,6.60602E+01,3.56900E-01,1.93030E-03,3.17830E-05
4.00000E+01,6.60602E+01,4.46100E-01,1.90040E-03,3.12890E-05
4.00000E+01,6.60602E+01,5.35400E-01,1.82700E-03,3.00810E-05
4.00000E+01,6.60602E+01,6.24600E-01,1.73850E-03,2.86240E-05
4.00000E+01,7.70702E+01,2.67700E-01,1.71890E-03,2.83020E-05
4.00000E+01,7.70702E+01,3.56900E-01,1.81740E-03,2.99230E-05
4.00000E+01,7.70702E+01,4.46100E-01,1.81370E-03,2.98620E-05
4.00000E+01,7.70702E+01,5.35400E-01,1.76120E-03,2.89970E-05
4.00000E+01,7.70702E+01,6.24600E-01,1.68830E-03,2.77970E-05
5.00000E+01,3.08247E+01,2.71200E-01,3.66160E-03,6.02880E-05
5.00000E+01,3.08247E+01,3.61600E-01,3.90170E-03,6.42410E-05
5.00000E+01,3.08247E+01,4.52100E-01,3.95820E-03,6.51720E-05
