f[MHz],er,sigma [S/m],Pabs [W],SAR (whole body average) [W/kg]
3.00E+01,3.67E+01,2.63E-01,1.30E-03,2.14E-05
3.00E+01,3.67E+01,3.51E-01,1.16E-03,1.91E-05
3.00E+01,3.67E+01,4.39E-01,1.03E-03,1.69E-05
3.00E+01,3.67241E+01,5.264E-01,9.1488E-04,1.5063E-05
3.00E+01,3.67E+01,6.14E-01,8.23E-04,1.36E-05
3.00E+01,4.90E+01,2.63E-01,1.21E-03,2.00E-05
3.00E+01,4.90E+01,3.51E-01,1.11E-03,1.82E-05
3.00E+01,4.90E+01,4.39E-01,9.93E-04,1.64E-05
3.00E+01,4.90E+01,5.26E-01,8.93E-04,1.47E-05
3.00E+01,4.90E+01,6.14E-01,8.08E-04,1.33E-05
3.00E+01,6.12E+01,2.63E-01,1.13E-03,1.86E-05
3.00E+01,6.12E+01,3.51E-01,1.05E-03,1.73E-05
3.00E+01,6.12E+01,4.39E-01,9.59E-04,1.58E-05
3.00E+01,6.12E+01,5.26E-01,8.70E-04,1.43E-05
3.00E+01,6.12E+01,6.14E-01,7.93E-04,1.30E-05
3.00E+01,7.34E+01,2.63E-01,1.05E-03,1.73E-05
3.00E+01,7.34E+01,3.51E-01,1.00E-03,1.65E-05
3.00E+01,7.34E+01,4.39E-01,9.25E-04,1.52E-05
3.00E+01,7.34E+01,5.26E-01,8.47E-04,1.39E-05
3.00E+01,7.34E+01,6.14E-01,7.76E-04,1.28E-05
3.00E+01,8.57E+01,2.63E-01,9.76E-04,1.61E-05
3.00E+01,8.57E+01,3.51E-01,9.51E-04,1.57E-05
3.00E+01,8.57E+01,4.39E-01,8.90E-04,1.47E-05
3.00E+01,8.57E+01,5.26E-01,8.23E-04,1.35E-05
3.00E+01,8.57E+01,6.14E-01,7.59E-04,1.25E-05
4.00E+01,3.30E+01,2.68E-01,2.37E-03,3.89E-05
4.00E+01,3.30E+01,3.57E-01,2.31E-03,3.80E-05
4.00E+01,3.30E+01,4.46E-01,2.17E-03,3.58E-05
4.00E+01,3.30E+01,5.35E-01,2.03E-03,3.34E-05
4.00E+01,3.30E+01,6.25E-01,1.89E-03,3.11E-05
4.00E+01,4.40E+01,2.68E-01,2.18E-03,3.59E-05
4.00E+01,4.40E+01,3.57E-01,2.18E-03,3.58E-05
4.00E+01,4.40E+01,4.46E-01,2.08E-03,3.43E-05
4.00E+01,4.40E+01,5.35E-01,1.96E-03,3.23E-05
4.00E+01,4.40E+01,6.25E-01,1.84E-03,3.03E-05
4.00E+01,5.51E+01,2.68E-01,2.01E-03,3.32E-05
4.00E+01,5.51E+01,3.57E-01,2.05E-03,3.37E-05
4.00E+01,5.51E+01,4.46E-01,1.99E-03,3.28E-05
