f[MHz],er,sigma [S/m],Pabs [W],SAR (whole body average) [W/kg]
80,20.6305,0.2093,0.0044066,7.26E-05
80,20.6305,0.2791,0.0047304,7.79E-05
80,20.6305,0.3488,0.0048929,8.06E-05
80,20.6305,0.4186,0.004968,8.18E-05
80,20.6305,0.4884,0.0049948,8.22E-05
80,27.5073,0.2093,0.0044458,7.32E-05
80,27.5073,0.2791,0.0047653,7.85E-05
80,27.5073,0.3488,0.0049224,8.10E-05
80,27.5073,0.4186,0.0049925,8.22E-05
80,27.5073,0.4884,0.005015,8.26E-05
80,34.3841,0.2093,0.0044763,7.37E-05
80,34.3841,0.2791,0.0047925,7.89E-05
80,34.3841,0.3488,0.0049454,8.14E-05
80,34.3841,0.4186,0.0050117,8.25E-05
80,34.3841,0.4884,0.0050311,8.28E-05
80,41.261,0.2093,0.0044972,7.40E-05
80,41.261,0.2791,0.0048114,7.92E-05
80,41.261,0.3488,0.0049616,8.17E-05
80,41.261,0.4186,0.0050254,8.27E-05
80,41.261,0.4884,0.0050428,8.30E-05
80,48.1378,0.2093,0.0045079,7.42E-05
80,48.1378,0.2791,0.0048217,7.94E-05
80,48.1378,0.3488,0.0049709,8.18E-05
80,48.1378,0.4186,0.0050337,8.29E-05
80,48.1378,0.4884,0.0050501,8.32E-05
90,20.1655,0.2109,0.0039181,6.45E-05
90,20.1655,0.2811,0.0040051,6.59E-05
90,20.1655,0.3514,0.0040027,6.59E-05
90,20.1655,0.4217,0.003966,6.53E-05
90,20.1655,0.492,0.0039183,6.45E-05
90,26.8873,0.2109,0.0039789,6.55E-05
90,26.8873,0.2811,0.0040514,6.67E-05
90,26.8873,0.3514,0.0040385,6.65E-05
90,26.8873,0.4217,0.0039945,6.58E-05
90,26.8873,0.492,0.0039415,6.49E-05
90,33.6092,0.2109,0.0040157,6.61E-05
90,33.6092,0.2811,0.0040806,6.72E-05
90,33.6092,0.3514,0.0040621,6.69E-05
90,33.6092,0.4217,0.0040142,6.61E-05
90,33.6092,0.492,0.0039583,6.52E-05
90,40.331,0.2109,0.0040269,6.63E-05
90,40.331,0.2811,0.0040919,6.74E-05
90,40.331,0.3514,0.0040732,6.71E-05
90,40.331,0.4217,0.004025,6.63E-05
90,40.331,0.492,0.0039687,6.53E-05
90,47.0529,0.2109,0.0040129,6.61E-05
90,47.0529,0.2811,0.0040861,6.73E-05
90,47.0529,0.3514,0.0040724,6.71E-05
90,47.0529,0.4217,0.0040272,6.63E-05
90,47.0529,0.492,0.0039728,6.54E-05
100,19.7916,0.2123,0.0033575,5.53E-05
100,19.7916,0.283,0.0033199,5.47E-05
100,19.7916,0.3538,0.0032527,5.36E-05
100,19.7916,0.4246,0.0031847,5.24E-05
100,19.7916,0.4953,0.0031241,5.14E-05
100,26.3888,0.2123,0.0033923,5.59E-05
100,26.3888,0.283,0.0033479,5.51E-05
100,26.3888,0.3538,0.0032764,5.39E-05
100,26.3888,0.4246,0.0032056,5.28E-05
100,26.3888,0.4953,0.0031428,5.17E-05
100,32.986,0.2123,0.0033907,5.58E-05
100,32.986,0.283,0.0033534,5.52E-05
100,32.986,0.3538,0.0032858,5.41E-05
100,32.986,0.4246,0.0032168,5.30E-05
100,32.986,0.4953,0.0031547,5.19E-05
100,39.5832,0.2123,0.0033558,5.53E-05
100,39.5832,0.283,0.0033384,5.50E-05
100,39.5832,0.3538,0.0032819,5.40E-05
100,39.5832,0.4246,0.0032191,5.30E-05
100,39.5832,0.4953,0.0031604,5.20E-05
100,46.1804,0.2123,0.0032951,5.43E-05
100,46.1804,0.283,0.0033067,5.44E-05
100,46.1804,0.3538,0.0032669,5.38E-05
100,46.1804,0.4246,0.0032137,5.29E-05
100,46.1804,0.4953,0.0031605,5.20E-05
120,19.2264,0.2148,0.0024381,4.01E-05
