f[MHz],er,sigma [S/m],Pabs [W],SAR (whole body average) [W/kg]
30,32.0,0.12,0.0013578,2.2356e-05
30,32.0,0.21,0.0014131,2.3266e-05
30,32.0,0.3,0.0012697,2.0905e-05
30,32.0,0.39,0.0011139,1.8341e-05
30,32.0,0.48,0.00098139,1.6158e-05
30,56.0,0.12,0.0010171,1.6747e-05
30,56.0,0.21,0.0011819,1.946e-05
30,56.0,0.3,0.001132,1.8638e-05
30,56.0,0.39,0.0010301,1.6961e-05
30,56.0,0.48,0.00092798,1.5279e-05
30,80.0,0.12,0.00078067,1.2854e-05
30,80.0,0.21,0.00098755,1.626e-05
30,80.0,0.3,0.0010019,1.6496e-05
30,80.0,0.39,0.00094545,1.5567e-05
30,80.0,0.48,0.00087176,1.4353e-05
30,104.0,0.12,0.00061443,1.0117e-05
30,104.0,0.21,0.00082881,1.3646e-05
30,104.0,0.3,0.00088391,1.4553e-05
30,104.0,0.39,0.00086331,1.4214e-05
30,104.0,0.48,0.00081482,1.3416e-05
30,128.0,0.12,0.00049487,8.148e-06
30,128.0,0.21,0.00070078,1.1538e-05
30,128.0,0.3,0.00077966,1.2837e-05
30,128.0,0.39,0.00078595,1.2941e-05
30,128.0,0.48,0.00075882,1.2494e-05
40,26.0,0.14,0.0021745,3.5803e-05
40,26.0,0.245,0.0024892,4.0984e-05
40,26.0,0.35,0.0024013,3.9538e-05
40,26.0,0.455,0.0022157,3.6482e-05
40,26.0,0.56,0.0020256,3.3352e-05
40,45.5,0.14,0.0017194,2.831e-05
40,45.5,0.245,0.0021319,3.5102e-05
40,45.5,0.35,0.0021625,3.5605e-05
40,45.5,0.455,0.0020576,3.3878e-05
40,45.5,0.56,0.0019182,3.1582e-05
40,65.0,0.14,0.0013847,2.2799e-05
40,65.0,0.245,0.0018294,3.012e-05
40,65.0,0.35,0.0019409,3.1957e-05
40,65.0,0.455,0.0019026,3.1326e-05
40,65.0,0.56,0.0018093,2.9789e-05
40,84.5,0.14,0.0011362,1.8707e-05
40,84.5,0.245,0.0015773,2.597e-05
40,84.5,0.35,0.0017406,2.8659e-05
40,84.5,0.455,0.0017547,2.8891e-05
40,84.5,0.56,0.0017016,2.8016e-05
40,104.0,0.14,0.00094855,1.5618e-05
40,104.0,0.245,0.0013689,2.2539e-05
40,104.0,0.35,0.0015625,2.5727e-05
40,104.0,0.455,0.0016163,2.6612e-05
40,104.0,0.56,0.0015972,2.6298e-05
50,26.0,0.2,0.0033877,5.5777e-05
50,26.0,0.35,0.0039926,6.5737e-05
50,26.0,0.5,0.0040204,6.6195e-05
50,26.0,0.65,0.0038696,6.3713e-05
50,26.0,0.8,0.0036715,6.0451e-05
50,45.5,0.2,0.0028518,4.6954e-05
50,45.5,0.35,0.0035698,5.8777e-05
50,45.5,0.5,0.0037261,6.135e-05
50,45.5,0.65,0.0036646,6.0337e-05
50,45.5,0.8,0.003525,5.8039e-05
50,65.0,0.2,0.0024263,3.9949e-05
50,65.0,0.35,0.003195,5.2605e-05
50,65.0,0.5,0.0034476,5.6765e-05
50,65.0,0.65,0.0034634,5.7024e-05
50,65.0,0.8,0.0033782,5.5622e-05
50,84.5,0.2,0.0020892,3.4398e-05
50,84.5,0.35,0.0028682,4.7224e-05
50,84.5,0.5,0.0031894,5.2512e-05
50,84.5,0.65,0.0032696,5.3834e-05
50,84.5,0.8,0.0032335,5.3239e-05
50,104.0,0.2,0.001821,2.9982e-05
50,104.0,0.35,0.0025865,4.2587e-05
50,104.0,0.5,0.0029537,4.8632e-05
50,104.0,0.65,0.003086,5.081e-05
50,104.0,0.8,0.0030929,5.0924e-05
60,28.0,0.18,0.0038437,6.3287e-05
60,28.0,0.315,0.0050802,8.3644e-05
60,28.0,0.45,0.0056713,9.3377e-05
60,28.0,0.585,0.0059434,9.7857e-05
60,28.0,0.72,0.0060557,9.9707e-05
60,49.0,0.18,0.0033802,5.5654e-05
60,49.0,0.315,0.0046469,7.651e-05
60,49.0,0.45,0.0053175,8.7552e-05
60,49.0,0.585,0.005663,9.324e-05
60,49.0,0.72,0.0058313,9.6012e-05
60,70.0,0.18,0.0030085,4.9534e-05
60,70.0,0.315,0.0042681,7.0274e-05
60,70.0,0.45,0.0049913,8.2181e-05
60,70.0,0.585,0.0053949,8.8826e-05
60,70.0,0.72,0.0056118,9.2397e-05
60,91.0,0.18,0.0027137,4.468e-05
60,91.0,0.315,0.0039451,6.4956e-05
60,91.0,0.45,0.0046985,7.736e-05
60,91.0,0.585,0.0051451,8.4714e-05
60,91.0,0.72,0.0054018,8.8939e-05
60,112.0,0.18,0.002483,4.0882e-05
60,112.0,0.315,0.0036766,6.0536e-05
60,112.0,0.45,0.0044426,7.3147e-05
60,112.0,0.585,0.004918,8.0975e-05
60,112.0,0.72,0.0052051,8.5701e-05
65,28.0,0.18,0.0040836,6.7236e-05
65,28.0,0.315,0.0053605,8.8261e-05
65,28.0,0.45,0.0059964,9.8731e-05
65,28.0,0.585,0.0063175,0.00010402
65,28.0,0.72,0.0064794,0.00010668
65,49.0,0.18,0.003751,6.1759e-05
65,49.0,0.315,0.0050676,8.3438e-05
65,49.0,0.45,0.0057643,9.4908e-05
