x,y,z
-0.8,0.0,-2
-0.8,0.0,-1
-0.8,0.0,0
-0.8,0.0,1
-0.8,0.0,2
-0.8,0.3,-2
-0.8,0.3,-1
-0.8,0.3,0
-0.8,0.3,1
-0.8,0.3,2
-0.8,0.8,-2
-0.8,0.8,-1
-0.8,0.8,0
-0.8,0.8,1
-0.8,0.8,2
-0.8,1.6,-2
-0.8,1.6,-1
-0.8,1.6,0
-0.8,1.6,1
-0.8,1.6,2
-0.8,2.6,-2
-0.8,2.6,-1
-0.8,2.6,0
-0.8,2.6,1
-0.8,2.6,2
-0.8,4.0,-2
-0.8,4.0,-1
-0.8,4.0,0
-0.8,4.0,1
-0.8,4.0,2
-0.8,6.0,-2
-0.8,6.0,-1
-0.8,6.0,0
-0.8,6.0,1
-0.8,6.0,2
-0.3,0.0,-2
-0.3,0.0,-1
-0.3,0.0,0
-0.3,0.0,1
-0.3,0.0,2
-0.3,0.3,-2
-0.3,0.3,-1
-0.3,0.3,0
-0.3,0.3,1
-0.3,0.3,2
-0.3,0.8,-2
-0.3,0.8,-1
-0.3,0.8,0
-0.3,0.8,1
-0.3,0.8,2
-0.3,1.6,-2
-0.3,1.6,-1
-0.3,1.6,0
-0.3,1.6,1
-0.3,1.6,2
-0.3,2.6,-2
-0.3,2.6,-1
-0.3,2.6,0
-0.3,2.6,1
-0.3,2.6,2
-0.3,4.0,-2
-0.3,4.0,-1
-0.3,4.0,0
-0.3,4.0,1
-0.3,4.0,2
-0.3,6.0,-2
-0.3,6.0,-1
-0.3,6.0,0
-0.3,6.0,1
-0.3,6.0,2
0.2,0.0,-2
0.2,0.0,-1
0.2,0.0,0
0.2,0.0,1
0.2,0.0,2
0.2,0.3,-2
0.2,0.3,-1
0.2,0.3,0
0.2,0.3,1
0.2,0.3,2
0.2,0.8,-2
0.2,0.8,-1
0.2,0.8,0
0.2,0.8,1
0.2,0.8,2
0.2,1.6,-2
0.2,1.6,-1
0.2,1.6,0
0.2,1.6,1
0.2,1.6,2
0.2,2.6,-2
0.2,2.6,-1
0.2,2.6,0
0.2,2.6,1
0.2,2.6,2
0.2,4.0,-2
0.2,4.0,-1
0.2,4.0,0
0.2,4.0,1
0.2,4.0,2
0.2,6.0,-2
0.2,6.0,-1
0.2,6.0,0
0.2,6.0,1
0.2,6.0,2
0.5,0.0,-2
0.5,0.0,-1
